City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Opunake,92,NZ,03/14/19,89,-39.45,173.86,71.01,3.15
Guerrero Negro,0,MX,03/14/19,87,27.97,-114.04,63.78,9.64
Padang,0,ID,03/14/19,100,-0.92,100.36,85.02,4.5
Kindu,88,CD,03/14/19,86,-2.95,25.92,74.94,4.05
Provideniya,56,RU,03/14/19,96,64.42,-173.23,25.8,28.1
Tambacounda,0,SN,03/14/19,19,13.77,-13.67,100.4,6.93
Vammala,90,FI,03/14/19,89,61.34,22.91,35.6,11.41
Port Hardy,90,CA,03/14/19,81,50.7,-127.42,42.8,9.17
Inverell,100,AU,03/14/19,84,-29.78,151.11,62.01,4.5
Mitsamiouli,20,KM,03/14/19,78,-11.38,43.28,80.6,6.93
Salalah,75,OM,03/14/19,69,17.01,54.1,77.0,6.93
Malkara,92,TR,03/14/19,89,40.89,26.9,44.07,3.15
Tiksi,8,RU,03/14/19,54,71.64,128.87,-18.94,2.71
Kaitangata,0,NZ,03/14/19,95,-46.28,169.85,42.01,1.99
Coquimbo,90,CL,03/14/19,82,-29.95,-71.34,62.6,4.7
Faya,0,SA,03/14/19,63,18.39,42.45,64.4,8.05
Vila Velha,40,BR,03/14/19,74,-3.71,-38.6,84.2,6.93
Narasannapeta,20,IN,03/14/19,89,18.42,84.04,74.67,2.48
Kaili,64,ID,03/14/19,87,-3.46,120.21,68.5,2.15
Cabo San Lucas,5,MX,03/14/19,52,22.89,-109.91,79.0,6.93
Clyde River,75,CA,03/14/19,83,70.47,-68.59,-4.01,8.05
Nanortalik,0,GL,03/14/19,100,60.14,-45.24,22.74,33.24
Tongliao,0,CN,03/14/19,41,43.61,122.27,21.16,9.08
Nikolskoye,75,RU,03/14/19,89,59.7,30.79,32.0,13.42
Rorvik,40,NO,03/14/19,100,64.86,11.24,37.0,6.93
Puerto Ayora,0,EC,03/14/19,88,-0.74,-90.35,77.0,10.0
Ajdabiya,0,LY,03/14/19,34,30.75,20.22,55.68,4.05
Cherskiy,48,RU,03/14/19,39,68.75,161.3,-26.09,2.48
Port Elizabeth,1,US,03/14/19,55,39.31,-74.98,69.8,9.17
Sabang,32,PH,03/14/19,98,13.72,123.58,73.81,6.29
Shurugwi,8,ZW,03/14/19,51,-19.67,30.0,72.64,12.21
Anju,0,KP,03/14/19,78,39.62,125.66,23.73,1.59
Castro,40,CL,03/14/19,55,-42.48,-73.76,62.6,11.41
Cidreira,0,BR,03/14/19,75,-30.17,-50.22,78.85,13.22
Berea,90,US,03/14/19,51,41.37,-81.85,68.0,17.22
Saint-Augustin,75,FR,03/14/19,87,44.83,-0.61,52.0,14.99
Bambous Virieux,40,MU,03/14/19,78,-20.34,57.76,78.8,5.82
Shawnee,75,US,03/14/19,43,35.33,-96.93,54.0,18.34
Ornskoldsvik,90,SE,03/14/19,95,63.29,18.72,32.0,8.05
Ahipara,80,NZ,03/14/19,100,-35.17,173.16,63.0,5.39
Kresttsy,88,RU,03/14/19,90,58.25,32.52,33.76,14.23
Carnarvon,92,ZA,03/14/19,38,-30.97,22.13,73.77,3.83
Klaksvik,44,FO,03/14/19,86,62.23,-6.59,39.2,2.24
Boyolangu,12,ID,03/14/19,87,-8.09,111.9,69.85,4.94
Komsomolskiy,0,RU,03/14/19,90,67.55,63.78,13.69,11.21
Inhambane,75,MZ,03/14/19,78,-23.87,35.38,82.4,13.87
Rocha,76,UY,03/14/19,73,-34.48,-54.34,74.4,10.31
Sayville,75,US,03/14/19,62,40.74,-73.08,55.99,12.75
Buala,8,SB,03/14/19,93,-8.15,159.59,81.01,6.17
Netarhat,68,IN,03/14/19,97,23.45,84.31,63.1,3.71
Mantua,40,IT,03/14/19,34,45.16,10.79,55.99,6.93
Yulara,24,AU,03/14/19,41,-25.24,130.99,78.8,3.36
Fukue,75,JP,03/14/19,80,35.03,136.69,37.4,2.24
Pisco,40,PE,03/14/19,30,-13.71,-76.2,71.6,12.75
Thaba-Tseka,80,LS,03/14/19,97,-29.52,28.61,50.73,2.26
Buraydah,75,SA,03/14/19,55,26.33,43.97,66.2,14.99
Constitucion,5,MX,03/14/19,16,23.99,-104.67,70.0,5.82
Thompson,90,CA,03/14/19,62,55.74,-97.86,24.8,9.17
Chokurdakh,56,RU,03/14/19,29,70.62,147.9,-20.47,2.93
Boa Vista,40,BR,03/14/19,34,2.82,-60.67,95.0,6.93
San Patricio,0,PY,03/14/19,64,-26.98,-56.83,83.17,4.38
Kavaratti,0,IN,03/14/19,99,10.57,72.64,83.62,10.2
Port Lincoln,20,AU,03/14/19,100,-34.72,135.86,59.19,7.74
Pevek,24,RU,03/14/19,45,69.7,170.27,-28.57,2.71
Victoria,75,BN,03/14/19,83,5.28,115.24,80.6,4.7
Marienburg,90,DE,03/14/19,87,52.12,9.98,46.0,26.4
Grand Gaube,40,MU,03/14/19,78,-20.01,57.66,78.8,5.82
Zhezkazgan,90,KZ,03/14/19,86,47.8,67.71,37.4,15.66
Kamina,88,CD,03/14/19,83,-8.74,25.0,74.13,3.6
Enzan,1,JP,03/14/19,69,35.7,138.73,37.99,2.15
Maniitsoq,0,GL,03/14/19,100,65.42,-52.9,5.05,5.17
Sidi Ali,0,DZ,03/14/19,63,36.1,0.42,55.32,2.93
Longyearbyen,40,NO,03/14/19,70,78.22,15.63,-0.41,2.24
Russell,40,AR,03/14/19,39,-33.01,-68.8,82.4,5.82
Nelson Bay,90,AU,03/14/19,88,-32.72,152.14,68.0,5.82
Bowen,92,AU,03/14/19,100,-20.01,148.25,77.0,5.84
Sioux Lookout,90,CA,03/14/19,87,50.1,-91.92,33.8,11.41
Khatanga,32,RU,03/14/19,73,71.98,102.47,5.64,12.77
Yatsushiro,0,JP,03/14/19,75,32.52,130.76,28.0,1.92
Saldanha,0,PT,03/14/19,38,41.42,-6.55,56.67,4.72
Yilan,75,TW,03/14/19,82,24.75,121.75,66.0,5.82
Suda,20,RU,03/14/19,72,59.15,37.56,17.6,2.24
Hit,56,IQ,03/14/19,53,33.64,42.83,58.96,11.32
Petalcingo,5,MX,03/14/19,59,17.23,-92.41,89.6,5.82
Najran,0,SA,03/14/19,23,17.54,44.22,84.2,13.87
Ambilobe,56,MG,03/14/19,94,-13.19,49.05,74.13,3.38
Pasni,0,PK,03/14/19,91,25.26,63.48,71.7,13.67
Walvis Bay,0,NA,03/14/19,92,-22.95,14.51,60.01,5.99
Qingdao,0,CN,03/14/19,87,36.09,120.35,42.8,4.47
Den Helder,92,NL,03/14/19,81,52.96,4.76,48.0,25.28
Kieta,92,PG,03/14/19,100,-6.22,155.63,76.06,2.48
Houma,0,CN,03/14/19,42,35.63,111.36,35.97,4.38
Linjiang,0,CN,03/14/19,76,41.81,126.91,14.32,3.71
Poum,64,MK,03/14/19,95,41.28,20.71,33.22,1.81
Fernie,75,CA,03/14/19,58,49.5,-115.06,30.2,9.17
Belica,75,SI,03/14/19,65,46.07,14.35,48.2,4.7
Ayolas,0,PY,03/14/19,86,-27.39,-56.84,81.19,6.17
Katsuura,20,JP,03/14/19,69,33.93,134.5,39.2,6.93
Camacha,75,PT,03/14/19,67,33.08,-16.33,60.8,13.87
Tshela,92,CD,03/14/19,100,-4.99,12.94,71.56,0.69
Kruisfontein,0,ZA,03/14/19,86,-34.0,24.73,66.16,7.29
Waipawa,32,NZ,03/14/19,95,-39.94,176.59,60.01,2.93
Korem,32,ET,03/14/19,91,12.51,39.52,58.96,0.58
Labuhan,44,ID,03/14/19,96,-2.54,115.51,70.75,1.14
Santa Eulalia,0,GT,03/14/19,47,15.73,-91.46,80.11,1.92
Isiro,0,CD,03/14/19,63,2.77,27.62,80.2,3.27
Ust-Nera,24,RU,03/14/19,42,64.57,143.24,-29.83,2.15
Chudovo,88,RU,03/14/19,88,59.12,31.67,33.04,7.96
Cockburn Town,48,TC,03/14/19,100,21.46,-71.14,76.24,19.04
Portland,20,US,03/14/19,65,45.52,-122.67,51.01,5.82
Ancud,40,CL,03/14/19,55,-41.87,-73.83,62.6,11.41
Faanui,64,PF,03/14/19,100,-16.48,-151.75,81.46,10.65
Vardo,1,US,03/14/19,39,39.62,-77.74,73.99,9.17
Tete,88,MZ,03/14/19,57,-16.16,33.59,82.77,2.71
Ilmajoki,90,FI,03/14/19,87,62.73,22.58,36.0,14.99
Tabuk,76,PH,03/14/19,96,17.41,121.44,65.17,1.36
Dunedin,12,NZ,03/14/19,91,-45.87,170.5,55.0,7.0
Katherine,75,AU,03/14/19,100,-14.47,132.26,69.8,8.05
North Myrtle Beach,75,US,03/14/19,53,33.83,-78.68,78.01,10.29
Puerto Leguizamo,92,CO,03/14/19,98,-0.19,-74.78,74.17,3.49
Nipawin,75,CA,03/14/19,79,53.36,-104.02,24.8,5.82
Arraial do Cabo,20,BR,03/14/19,74,-22.97,-42.02,87.8,11.41
Benjamin Constant,40,BR,03/14/19,55,-4.38,-70.03,91.4,8.05
Airai,92,TL,03/14/19,90,-8.93,125.41,69.4,1.92
Lavrentiya,36,RU,03/14/19,89,65.58,-170.99,21.3,25.19
Olinda,40,EC,03/14/19,74,-2.03,-79.75,88.0,3.36
Cusco,75,PE,03/14/19,39,-13.52,-71.98,66.2,5.82
Sao Joao da Barra,20,BR,03/14/19,41,-21.64,-41.05,96.8,3.36
Sorland,40,NO,03/14/19,79,67.67,12.69,32.0,5.82
Doka,0,SD,03/14/19,27,13.52,35.76,80.97,10.65
Tura,56,IN,03/14/19,72,25.52,90.21,65.62,2.59
Katangli,76,RU,03/14/19,97,51.71,143.23,19.72,3.83
Palana,8,RU,03/14/19,46,59.08,159.95,-16.33,2.37
Khor,80,RU,03/14/19,84,47.88,134.96,24.99,2.82
Osorno,75,CL,03/14/19,55,-40.57,-73.14,62.6,11.41
Iqaluit,5,CA,03/14/19,64,63.75,-68.52,-2.01,2.24
Ust-Ilimsk,88,RU,03/14/19,77,57.96,102.73,30.97,8.41
Oistins,40,BB,03/14/19,62,13.07,-59.53,84.2,17.22
Ushtobe,32,KZ,03/14/19,78,45.25,77.98,32.5,1.25
Kariba,0,ZW,03/14/19,55,-16.53,28.78,80.02,1.92
Marsh Harbour,0,BS,03/14/19,100,26.54,-77.06,74.22,16.8
Kaeo,92,NZ,03/14/19,93,-35.1,173.78,63.0,4.27
Hambantota,0,LK,03/14/19,94,6.12,81.12,77.0,6.93
Maldonado,40,UY,03/14/19,73,-34.91,-54.96,75.2,11.41
Lagoa,0,PT,03/14/19,55,37.14,-8.45,66.99,6.93
Mezen,20,RU,03/14/19,85,65.85,44.24,15.27,6.73
Secusigiu,0,RO,03/14/19,52,46.09,20.98,48.0,4.7
Morozovsk,44,RU,03/14/19,66,48.35,41.83,31.02,9.31
Yaring,0,TH,03/14/19,80,6.87,101.37,76.24,3.94
Leningradskiy,32,RU,03/14/19,47,69.38,178.42,-15.88,6.17
Nobeoka,0,JP,03/14/19,75,32.66,131.66,28.0,2.59
Okhotsk,48,RU,03/14/19,100,59.36,143.24,6.45,3.04
Marsabit,0,KE,03/14/19,61,2.34,37.99,78.0,5.39
Saint-Georges,32,CA,03/14/19,62,46.12,-70.67,45.0,4.27
Ayni,0,TJ,03/14/19,68,39.39,68.54,23.55,2.37
Straumen,0,NO,03/14/19,86,63.87,11.3,39.0,2.24
Rovaniemi,75,FI,03/14/19,92,66.5,25.72,26.6,8.05
Kano,0,NG,03/14/19,18,11.99,8.53,87.8,4.7
Semporna,75,MY,03/14/19,88,4.48,118.61,75.2,2.24
Torbay,40,CA,03/14/19,47,47.66,-52.73,37.99,9.17
Coahuayana,0,MX,03/14/19,27,18.62,-100.35,84.39,3.04
Porbandar,0,IN,03/14/19,73,21.64,69.61,70.53,12.66
Araouane,0,ML,03/14/19,13,18.9,-3.53,82.95,4.61
Christchurch,92,NZ,03/14/19,93,-43.53,172.64,59.0,6.93
Sitka,80,US,03/14/19,55,37.17,-99.65,42.01,24.0
Genhe,8,CN,03/14/19,57,50.78,121.52,0.37,4.83
Chuy,64,UY,03/14/19,88,-33.69,-53.46,75.12,11.65
Cabedelo,40,BR,03/14/19,70,-6.97,-34.84,86.0,12.75
Ardakan,75,IR,03/14/19,22,32.31,54.02,64.4,16.11
Severo-Kurilsk,44,RU,03/14/19,100,50.68,156.12,26.2,7.29
Puerto del Rosario,40,ES,03/14/19,82,28.5,-13.86,68.0,10.29
Santa Isabel do Rio Negro,64,BR,03/14/19,98,-0.41,-65.02,76.06,8.52
Stepnogorsk,8,KZ,03/14/19,89,52.35,71.88,34.66,15.79
Zhuhai,0,CN,03/14/19,34,40.71,112.04,35.6,6.71
Zhigansk,0,RU,03/14/19,36,66.77,123.37,-10.93,2.59
Zaokskiy,0,RU,03/14/19,89,54.73,37.4,32.0,11.18
Lompoc,1,US,03/14/19,41,34.64,-120.46,66.0,5.82
Bathsheba,40,BB,03/14/19,62,13.22,-59.52,84.2,17.22
Westport,90,IE,03/14/19,93,53.8,-9.52,46.0,11.41
Price,1,US,03/14/19,43,39.6,-110.81,36.0,10.29
Phalaborwa,0,ZA,03/14/19,44,-23.95,31.14,80.11,14.79
Krasnokholm,0,RU,03/14/19,88,51.6,54.16,25.75,7.52
Bethanien,76,NA,03/14/19,24,-26.5,17.16,85.69,4.72
Khani,75,GE,03/14/19,100,41.96,42.96,48.2,2.24
Guthrie,90,US,03/14/19,43,35.88,-97.43,52.0,21.92
Rawson,92,AR,03/14/19,99,-43.3,-65.11,56.94,23.85
Storsteinnes,75,NO,03/14/19,63,69.24,19.23,28.4,18.34
Antofagasta,0,CL,03/14/19,53,-23.65,-70.4,71.6,11.41
Izhevskoye,0,RU,03/14/19,77,54.56,40.87,17.65,10.2
Mugur-Aksy,0,RU,03/14/19,68,50.38,90.44,4.06,2.71
Upata,24,VE,03/14/19,53,8.02,-62.41,90.0,10.0
Havre-Saint-Pierre,75,CA,03/14/19,100,50.23,-63.6,32.0,9.17
Aklavik,90,CA,03/14/19,76,68.22,-135.01,-4.01,9.17
Kholodnyy,0,RU,03/14/19,0,62.72,147.95,-34.51,4.27
Mercedes,0,UY,03/14/19,77,-33.25,-58.03,76.87,8.52
Fort Nelson,75,CA,03/14/19,53,58.81,-122.69,26.6,1.14
Seybaplaya,5,MX,03/14/19,38,19.65,-90.67,93.2,16.11
Shingu,12,JP,03/14/19,100,33.72,135.99,48.07,8.41
Rabaul,76,PG,03/14/19,100,-4.2,152.17,77.64,7.96
Half Moon Bay,1,US,03/14/19,28,37.46,-122.43,62.6,10.29
Khudumelapye,0,BW,03/14/19,47,-23.91,24.95,78.18,5.95
Sabha,0,LY,03/14/19,27,27.03,14.43,58.38,3.6
Ilulissat,75,GL,03/14/19,60,69.22,-51.1,6.8,4.7
Kargasok,92,RU,03/14/19,95,59.06,80.87,34.62,4.5
Sibolga,0,ID,03/14/19,100,1.74,98.78,66.79,2.04
Bandarbeyla,12,SO,03/14/19,100,9.49,50.81,78.09,7.96
Bongor,0,TD,03/14/19,17,10.28,15.37,89.88,8.19
Sri Aman,76,MY,03/14/19,100,1.24,111.46,73.4,1.12
Alofi,68,NU,03/14/19,94,-19.06,-169.92,75.2,1.12
Ati,0,TD,03/14/19,14,13.21,18.34,87.94,9.53
Taksimo,44,RU,03/14/19,77,56.36,114.84,8.2,1.36
Dingle,0,PH,03/14/19,85,11.0,122.67,74.35,11.43
Tazovskiy,64,RU,03/14/19,78,67.47,78.7,10.81,17.02
Gat,0,SN,03/14/19,17,14.69,-16.54,89.6,13.87
Berlevag,40,NO,03/14/19,79,70.86,29.09,23.0,12.75
Sawtell,0,AU,03/14/19,88,-30.38,153.1,70.0,4.7
Koslan,0,RU,03/14/19,75,63.46,48.9,9.6,3.49
Goderich,92,CA,03/14/19,82,43.74,-81.71,50.0,17.0
Kortkeros,75,RU,03/14/19,85,61.81,51.56,23.0,2.48
Souillac,90,FR,03/14/19,87,45.6,-0.6,52.0,19.46
Matamoros,75,US,03/14/19,88,25.87,-97.51,78.01,8.05
Itarema,36,BR,03/14/19,96,-2.92,-39.92,80.2,5.61
Bacolod,0,PH,03/14/19,80,10.68,122.95,74.4,8.97
Assomada,0,CV,03/14/19,30,15.1,-23.68,82.4,19.46
Shamary,92,RU,03/14/19,84,57.34,58.22,24.31,14.23
Geraldton,90,CA,03/14/19,100,49.72,-86.95,37.4,2.24
Port Keats,36,AU,03/14/19,92,-14.25,129.55,79.35,7.07
Kon Tum,8,VN,03/14/19,90,14.36,108.0,63.15,1.92
Karratha,0,AU,03/14/19,50,-20.74,116.85,85.06,9.64
Ugoofaaru,8,MV,03/14/19,97,5.67,73.0,84.34,9.42
Venado Tuerto,0,AR,03/14/19,21,-33.75,-61.97,84.0,4.0
Margate,40,AU,03/14/19,76,-43.03,147.26,54.0,8.05
Suhbaatar,12,MN,03/14/19,64,50.23,106.21,31.74,5.5
Rio das Ostras,20,BR,03/14/19,59,-22.53,-41.95,95.0,9.17
Camopi,92,GF,03/14/19,81,3.17,-52.33,80.47,2.93
Laguna,75,MX,03/14/19,46,27.52,-110.01,69.8,11.41
Simao,0,CN,03/14/19,74,22.76,100.79,56.49,2.04
Abha,0,SA,03/14/19,63,18.22,42.5,64.4,8.05
Alasehir,80,TR,03/14/19,77,38.35,28.52,46.68,3.71
Umm Lajj,0,SA,03/14/19,95,25.02,37.27,63.87,10.65
Severobaykalsk,88,RU,03/14/19,85,55.65,109.32,15.22,1.03
Kulob,24,TJ,03/14/19,50,37.91,69.78,51.8,13.42
Novi Sanzhary,76,UA,03/14/19,60,49.33,34.31,33.22,6.96
Kang,8,BW,03/14/19,32,-23.67,22.79,81.46,6.4
Terpinnya,88,UA,03/14/19,75,46.97,35.42,35.07,8.19
Kaduna,36,NG,03/14/19,19,10.52,7.44,88.89,9.19
Lorengau,56,PG,03/14/19,100,-2.02,147.27,79.75,13.22
Taylorville,75,US,03/14/19,58,39.55,-89.29,62.01,32.21
Hay River,20,CA,03/14/19,68,60.82,-115.79,26.6,13.87
Samarai,92,PG,03/14/19,100,-10.62,150.67,76.47,19.71
Talnakh,48,RU,03/14/19,76,69.49,88.39,8.88,10.42
Kokoda,88,PG,03/14/19,98,-8.88,147.74,63.37,0.81
Magole,20,TZ,03/14/19,65,-6.37,37.37,80.6,11.41
Hami,0,CN,03/14/19,48,42.84,93.51,32.77,4.94
Lalganj,20,IN,03/14/19,60,26.17,80.97,71.6,4.7
Meiganga,92,CM,03/14/19,33,6.52,14.29,82.77,4.5
Honningsvag,20,NO,03/14/19,68,70.98,25.97,26.6,19.46
Florence,90,US,03/14/19,82,34.8,-87.68,75.2,20.8
Saint George,90,GR,03/14/19,76,39.45,22.34,51.8,3.15
Lazaro Cardenas,40,MX,03/14/19,25,28.39,-105.62,66.0,8.05
Guadalupe y Calvo,44,MX,03/14/19,22,26.09,-106.96,62.43,2.59
Uarini,40,BR,03/14/19,63,-2.98,-65.16,91.4,14.99
Barranca,0,PE,03/14/19,96,-10.75,-77.76,74.62,4.61
Mackenzie,90,CA,03/14/19,86,55.34,-123.09,30.2,9.17
Dargaville,56,NZ,03/14/19,95,-35.94,173.86,58.29,4.38
Srednekolymsk,44,RU,03/14/19,76,67.46,153.71,-11.92,2.37
Hisar,24,IN,03/14/19,77,29.16,75.73,59.5,6.73
Melilla,75,EC,03/14/19,83,-0.8,-80.23,82.4,3.36
Barranco,32,BR,03/14/19,67,-20.59,-41.2,84.3,3.94
Cali,75,CO,03/14/19,78,3.43,-76.51,77.0,6.93
Weligama,12,LK,03/14/19,93,5.97,80.42,79.89,7.18
Ranghulu,0,CN,03/14/19,75,46.63,124.88,16.53,7.74
Khandyga,68,RU,03/14/19,76,62.65,135.58,6.94,2.59
Maltahohe,76,NA,03/14/19,25,-24.83,16.98,81.46,2.48
Kitale,0,KE,03/14/19,58,1.02,35.0,60.22,3.15
Luanda,20,AO,03/14/19,66,-8.83,13.24,86.0,8.05
